,join_fid,awning,cross_stre,on_street,lat,lon,type,name,address,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID
361008,1420,NO,Howe St,Dexter Ave N,47.6357169675,-122.342383914,Bus Stop,,,49.0,202.0,Westlake,CASCADE,12.0
361570,1556,NO,Thorndyke Ave W,W Galer St,47.6322471043,-122.391416076,Bus Stop,,,68.0,199.0,Interbay,INTERBAY,9.0
361625,1819,NO,8th Ave N,Westlake Ave N,47.6351018257,-122.34050399,Bus Stop,,,49.0,202.0,Westlake,CASCADE,12.0
361731,2073,NO,Florentia St,Nickerson St,47.6471030036,-122.352050227,Bus Stop,,,48.0,140.0,North Queen Anne,QUEEN ANNE,10.0
364937,1801,NO,Galer St,Westlake Ave N,47.6327174858,-122.340681055,Bus Stop,,,49.0,202.0,Westlake,CASCADE,12.0
364938,1818,NO,Galer St,Westlake Ave N,47.6327370102,-122.340882804,Bus Stop,,,49.0,202.0,Westlake,CASCADE,12.0
365150,1800,NO,8th Ave N,Westlake Ave N,47.6352004732,-122.340302713,Bus Stop,,,49.0,202.0,Westlake,CASCADE,12.0
366008,1820,NO,Crockett St,Westlake Ave N,47.638061403,-122.340916779,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
366138,2061,NO,Crockett St,Westlake Ave N,47.6381601725,-122.340754429,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
367047,2385,NO,W Pleasant Pl,7th Ave W,47.642729652,-122.366330503,Bus Stop,,,48.0,140.0,North Queen Anne,QUEEN ANNE,10.0
369282,1378,NO,3rd Ave N,Nickerson St,47.6470945155,-122.35167114,Bus Stop,,,48.0,140.0,North Queen Anne,QUEEN ANNE,10.0
370218,580,NO,W Newton St,Thorndyke Ave W,47.6371227815,-122.388681006,Bus Stop,,,68.0,199.0,Interbay,INTERBAY,9.0
370220,582,NO,W Newton St,Thorndyke Ave W,47.6367503154,-122.389388906,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
370296,560,NO,W Lynn St,Thorndyke Ave W,47.6392984741,-122.387056791,Bus Stop,,,68.0,199.0,Interbay,INTERBAY,9.0
370297,579,NO,W Boston St,Thorndyke Ave W,47.6383352732,-122.38776925,Bus Stop,,,68.0,199.0,Interbay,INTERBAY,9.0
370300,583,NO,W Boston St,Thorndyke Ave W,47.6382860984,-122.388239148,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
370301,584,NO,Thorndyke Pl W,Thorndyke Ave W,47.6398256085,-122.387086689,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
370721,559,NO,23rd Ave W,Thorndyke Ave W,47.6409512628,-122.38592072,Bus Stop,,,68.0,199.0,Interbay,INTERBAY,9.0
370722,585,NO,23rd Ave W,Thorndyke Ave W,47.6408517625,-122.38622261,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
372483,2291,NO,2nd Ave N,Queen Anne Dr,47.6421069512,-122.353415232,Bus Stop,,,48.0,140.0,North Queen Anne,QUEEN ANNE,10.0
372484,2292,NO,2nd Ave N,Queen Anne Dr,47.6419920315,-122.353265204,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
375125,3357,,,,47.650202,-122.353297,Farmers Markets,Fremont,N 34TH & EVANSTON AVE N,35.0,137.0,Fremont,NO BROADER TERM,6.0
379318,2198,NO,N 75th St,Greenwood Ave N,47.6835298051,-122.355181063,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379319,2199,NO,N 72nd St,Greenwood Ave N,47.6813303109,-122.355189128,Bus Stop,,,33.0,126.0,Phinney Ridge,NO BROADER TERM,6.0
379320,2240,NO,N 74th St,Greenwood Ave N,47.6822959634,-122.355388125,Bus Stop,,,33.0,126.0,Phinney Ridge,NO BROADER TERM,6.0
379321,2541,NO,N 76th St,Greenwood Ave N,47.6837518586,-122.355384068,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379322,3387,,,,47.683311,-122.355178,Food Banks,Phinney Ridge Food Bank,7500 Greenwood Ave N,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379323,676,NO,28th Ave NW,NW 85th St,47.6906351496,-122.393357401,Bus Stop,,,116.0,109.0,North Beach/Blue Ridge,NO BROADER TERM,1.0
379324,718,NO,29th Ave NW,NW 85th St,47.690497281,-122.394150564,Bus Stop,,,121.0,116.0,Sunset Hill,BALLARD,7.0
379325,719,NO,31st Ave NW,NW 85th St,47.6904952411,-122.396516096,Bus Stop,,,121.0,116.0,Sunset Hill,BALLARD,7.0
379326,1002,NO,30th Ave NW,NW 85th St,47.6906326564,-122.396281401,Bus Stop,,,116.0,109.0,North Beach/Blue Ridge,NO BROADER TERM,1.0
379327,1292,NO,Earl Ave NW,NW 85th St,47.6904988606,-122.391602673,Bus Stop,,,29.0,120.0,Loyal Heights,BALLARD,7.0
379328,1323,NO,NW 87th St,28th Ave NW,47.6920776507,-122.393027904,Bus Stop,,,116.0,109.0,North Beach/Blue Ridge,NO BROADER TERM,1.0
379329,2519,NO,N 80th St,Aurora Ave N,47.687125997,-122.344387784,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
379330,2572,NO,N 80th St,Aurora Ave N,47.6867461637,-122.344588846,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379331,3306,,,,47.686358,-122.342306,Elementary Schools,Daniel Bagley,7821 Stone Ave N,36.0,123.0,Green Lake,NO BROADER TERM,6.0
379350,166,NO,Aurora Ave N,N 145th St,47.7341914455,-122.345592778,Bus Stop,,,,,,,
379351,167,NO,Interlake Ave N,N 145th St,47.7340573628,-122.341084639,Bus Stop,,,114.0,102.0,Haller Lake,NORTHGATE,2.0
379352,468,NO,N 145th St,Aurora Ave N,47.7349189001,-122.345001082,Bus Stop,,,,,,,
379353,480,NO,Interlake Ave N,N 145th St,47.7341941688,-122.341438589,Bus Stop,,,,,,,
379354,493,NO,Aurora Ave N,N 145th St,47.7340545715,-122.3446837,Bus Stop,,,114.0,102.0,Haller Lake,NORTHGATE,2.0
379355,2605,NO,N 145th St,Aurora Ave N,47.7335757762,-122.345170786,Bus Stop,,,113.0,101.0,Bitter Lake,NO BROADER TERM,1.0
379375,494,NO,Linden Ave N,N 145th St,47.7340547886,-122.347380164,Bus Stop,,,113.0,101.0,Bitter Lake,NO BROADER TERM,1.0
379443,479,NO,Linden Ave N,N 145th St,47.734191978,-122.348192831,Bus Stop,,,,,,,
379447,2197,NO,N 77th St,Greenwood Ave N,47.6850437729,-122.35518198,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379469,2573,NO,N 84th St,Aurora Ave N,47.689871307,-122.344605125,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379475,2241,YES,N 78th St,Greenwood Ave N,47.685178307,-122.35538512,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379516,1738,NO,Linden Ave N,N 143rd St,47.7322400718,-122.348248608,Bus Stop,,,113.0,101.0,Bitter Lake,NO BROADER TERM,1.0
379632,2242,NO,N 80th St,Greenwood Ave N,47.6867029515,-122.355385828,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379648,2512,NO,N 80th St,Greenwood Ave N,47.6873256614,-122.355183463,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379653,932,NO,3rd Ave NW,Holman Rd NW,47.7024874402,-122.360374449,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379654,966,NO,3rd Ave NW,Holman Rd NW,47.7023086621,-122.36106376,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379664,3474,,,,47.687497,-122.354965,Libraries,Greenwood,8016 GREENWOOD AV N,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379731,1727,NO,3rd Ave NW,NW 103rd St,47.7035515135,-122.361227288,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379766,1714,NO,7th Ave NW,NW 100th Pl,47.7024846285,-122.363694947,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379771,1726,NO,7th Ave NW,NW 100th Pl,47.7026193172,-122.363771154,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379778,712,NO,1st Ave NW,N 85th St,47.6905343413,-122.357643231,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379779,1154,NO,Greenwood Ave N,N 85th St,47.6906601238,-122.35565151,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379780,2196,YES,N 85th St,Greenwood Ave N,47.6909600802,-122.355189295,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379781,2243,YES,N 85th St,Greenwood Ave N,47.6903278292,-122.355388305,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379782,2269,NO,Greenwood Ave N,N 85th St,47.6905198848,-122.354921947,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379783,3417,,,,47.690412,-122.353376,Health Centers - Community,Greenwood Medical Clinic,415 N 85th St,120.0,115.0,Greenwood,NO BROADER TERM,1.0
